ID,city,lat,lon,demand_mean,demand_std
c101,Harrisburg,40.2752,-76.8843,18588,5144
c102,Spokane,47.6671,-117.433,9552,5135
c103,Amarillo,35.1984,-101.8316,15310,5127
c104,Louisville,38.1663,-85.6485,18982,5155
c105,Fort Wayne,41.0888,-85.1436,21817,5231
c106,Yonkers,40.9466,-73.8673,17672,5251
c107,Jersey City,40.7184,-74.0686,12097,5233
c108,Eugene,44.0564,-123.1174,19036,5258
c109,Lakeland,28.0557,-81.9545,8284,5256
c110,Baton Rouge,30.442,-91.1311,16177,5253
c111,Nashville,36.1715,-86.7842,17539,5265
c112,Cincinnati,39.1413,-84.506,8180,5265
c113,Scottsdale,33.6872,-111.8651,9608,5254
c114,Sacramento,38.5677,-121.4685,7347,5258
c115,Appleton,44.278,-88.3892,18380,5276
c116,North Las Vegas,36.2883,-115.0888,15988,5275
c117,Indio,33.7346,-116.2346,17806,5283
c118,Flint,43.0236,-83.6921,18821,5310
c119,Santa Rosa,38.4458,-122.7067,14157,5300
c120,San Diego,32.8313,-117.1222,18183,5320
c121,Cleveland,41.4764,-81.6805,16378,5318
c122,San Jose,37.3012,-121.848,7092,5324
c123,Madison,43.0822,-89.393,15916,5321
c124,St. Paul,44.9478,-93.1039,8562,5319
c125,Indianapolis,39.7771,-86.1458,9550,5309
c126,Huntington,40.8521,-73.3823,9387,5302
c127,Corpus Christi,27.7254,-97.3767,15075,5292
c128,Baltimore,39.3051,-76.6144,13691,5283
c129,Detroit,42.3834,-83.1024,10906,5269
c130,Ann Arbor,42.2759,-83.731,21057,5320
c131,Oakland,37.7904,-122.2166,17538,5328
c132,Lansing,42.7142,-84.5601,19198,5348
c133,Hartford,41.7661,-72.6834,16597,5353
c134,Roanoke,37.2785,-79.9581,6603,5363
c135,New Orleans,30.0687,-89.9288,12523,5348
c136,Lafayette,30.2082,-92.0325,19215,5365
c137,Oyster Bay,40.7846,-73.514,20964,5400
c138,Long Beach,33.7977,-118.167,6602,5410
c139,Tacoma,47.2431,-122.4531,14688,5401
c140,Chattanooga,35.066,-85.2481,13754,5391
c141,Des Moines,41.5725,-93.6105,16790,5392
c142,New Haven,41.3113,-72.9246,18214,5401
c143,Ogden,41.2279,-111.9682,18403,5413
c144,Evansville,37.9881,-87.5341,9902,5404
c145,Toledo,41.6638,-83.5827,8120,5404
c146,Trenton,40.2237,-74.7641,16574,5407
c147,Oklahoma City,35.4676,-97.5136,12973,5394
c148,Wilmington,34.2099,-77.8866,18946,5410
c149,Modesto,37.6375,-121.0028,9906,5401
c150,Montgomery,32.3482,-86.2668,18270,5408
c151,Moreno Valley,33.9244,-117.2045,11291,5398
c152,Austin,30.3005,-97.7522,20316,5425
c153,North Hempstead,40.7912,-73.6688,8539,5423
c154,Aurora,39.7083,-104.7237,16482,5421
c155,Phoenix,33.5722,-112.0892,11974,5408
c156,El Paso,31.8476,-106.43,9926,5400
c157,Galveston,29.2484,-94.8913,10380,5390
c158,Oxnard,34.1964,-119.1815,11693,5379
c159,Omaha,41.2627,-96.0529,18314,5388
c160,Staten Island,40.5834,-74.1496,17568,5391
c161,Wichita,37.6895,-97.3443,18444,5401
c162,Seattle,47.6211,-122.3244,17293,5400
c163,Hempstead,40.6629,-73.6089,9503,5395
c164,San Bernardino,34.1416,-117.2943,18922,5405
c165,Deltona,28.905,-81.2137,8736,5402
c166,Chula Vista,32.6281,-117.0144,11364,5391
c167,Fargo,46.8651,-96.8292,10134,5384
c168,Reno,39.5497,-119.8483,19186,5399
c169,Plano,33.0502,-96.7486,8348,5398
c170,Port St. Lucie,27.2796,-80.3884,19110,5409
c171,York,39.9651,-76.7315,8978,5406
c172,Glendale,33.5791,-112.2311,7226,5411
c173,Bronx,40.8501,-73.8662,8883,5408
c174,Lancaster,40.042,-76.3012,19717,5424
c175,Bonita Springs,26.3558,-81.7859,15545,5421
c176,Cape Coral,26.6443,-81.9957,7349,5425
c177,Garland,32.91,-96.6304,13954,5414
c178,Dallas,32.7935,-96.7667,20800,5438
c179,Lincoln,40.8099,-96.6784,7577,5441
c180,Grand Rapids,42.9619,-85.6562,20365,5461
c181,Columbus,39.9862,-82.9855,17611,5462
c182,Atlanta,33.7628,-84.422,14765,5456
c183,Fontana,34.0968,-117.4599,15438,5451
c184,San Francisco,37.7558,-122.4449,14345,5441
c185,New York,40.6943,-73.9249,12640,5432
