ID,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_13,month_14,month_15,month_16,month_17,month_18,month_19,month_20,month_21,month_22,month_23,month_24,month_25,month_26,month_27,month_28,month_29,month_30,month_31,month_32,month_33,month_34,month_35,month_36
c24,6100,5844,6634,6998,7576,5535,5779,7163,4578,7407,6371,4968,6663,5358,6905,7964,5222,5081,4604,6112,5620,5415,6948,8127,5077,4610,5514,7354,5466,5222,6408,5962,8092,6088,6999,7937
c25,18431,17923,16894,18204,22480,16659,17987,16958,11460,18941,15699,19095,22838,18982,16676,22008,15548,18526,23091,17694,18172,13378,17236,14219,19493,17669,17817,17771,15582,17193,16450,18563,18147,20453,21748,21544
c26,7950,8013,8368,8220,7086,8093,7655,7894,8038,7557,8115,7691,7660,8799,8308,7910,8287,7736,7642,7876,8013,8258,7498,7951,7409,7508,8485,7580,8569,8495,7987,8161,7600,8296,8456,8227
c27,15950,15451,13785,19497,16012,16520,16852,14178,15477,20955,15569,14318,13496,16030,16490,17567,18641,16661,17137,14231,14175,17230,18729,14682,16093,12473,13806,16009,14782,11930,18349,20069,12143,13264,11650,16926
c28,7206,6757,7068,7265,6930,6847,7605,6787,7372,6964,7028,6782,6892,7164,6711,6977,6589,7073,6788,6844,7127,6770,7188,7150,6788,7408,6621,7103,7132,6660,7372,7610,6815,7083,6679,5973
c29,12469,13468,12384,12617,12617,10658,9352,15297,13814,14572,11515,14658,13116,13165,12190,8200,12959,12087,11262,10216,11832,11789,11445,11263,10701,11417,12994,11433,13700,9781,9580,12359,13193,13188,10932,10241
c30,10464,8563,11695,10776,9690,7442,11142,8097,8179,6968,10903,8440,7767,8374,10655,7394,10831,11342,11864,9098,9137,8663,11168,8244,11867,10407,8643,7397,8714,6038,7046,11328,7796,11776,9135,10208
c31,16504,18002,17764,15046,16974,16106,16620,15246,16471,14779,14639,15846,15598,13672,17164,12842,15949,16152,15491,15654,15586,16724,16148,15891,16281,16429,17116,14161,17366,16245,16052,17716,17515,16650,15794,19381
c32,12619,13200,12875,12841,12636,12967,13004,13080,13004,12976,13127,13268,13789,12704,13368,13137,12868,12427,12606,12794,12757,12816,13224,12750,13455,13104,12695,13032,12804,13173,12758,13228,13253,13347,13116,12978
c33,15026,13667,14164,14421,14339,14614,14947,14756,14823,14577,15859,14229,15185,14469,15701,13671,14964,15541,15831,13747,13789,14909,14398,13333,13848,14617,14382,14163,14335,13801,13948,14592,14350,15088,13584,14701
c34,15883,20714,19527,21546,21421,18279,21011,13976,18854,20703,18636,20745,21599,24616,16409,16678,18799,18278,18312,18711,13800,22702,20209,13851,12546,16818,16753,17008,14144,20624,17054,21955,15543,20426,19938,19381
c35,17045,17055,17435,17234,17088,17313,17103,17178,17672,17374,17241,17259,17019,17255,17225,17262,17173,17197,17347,17362,17242,17495,16995,17277,17149,17297,17189,17364,17079,17690,17532,17130,17029,16933,17394,17238
c36,8034,7921,7866,8010,7964,7818,8125,7947,7999,7969,8035,7951,7870,7952,7964,8023,7987,7884,7980,7980,8088,8018,7951,7810,8128,7934,7952,8039,7964,7987,7980,7908,8012,7920,7904,7942
c37,20764,19301,20773,18811,16788,18059,20115,18898,17550,19478,18407,21223,17598,17597,18964,18772,18813,17225,19601,19188,20077,21033,16630,17724,18316,17288,18299,18403,18065,19275,17698,17894,18956,19799,18011,17576
c38,10546,11769,11309,11293,10416,10574,10750,9380,9561,9966,10857,9971,11228,8084,10633,11031,10753,10883,8762,10998,9784,11234,11343,10656,10455,9842,12408,9753,9800,10398,9764,11621,10257,10054,10162,10769
c39,7376,7543,7496,7425,7315,7292,7456,7394,7247,7570,7171,7512,7555,7530,7560,7506,7302,7390,7422,7276,7225,7340,7364,7459,7359,7508,7210,7530,7419,7342,7546,7355,7422,7085,7593,7593
c40,12689,11751,9687,12856,9583,13034,9533,8854,10180,13773,10615,11421,10551,11530,11186,11559,11889,11325,9206,9094,11981,10817,11400,11547,9595,10734,12601,10224,9758,12792,10039,10225,8593,10059,12860,11024
c41,9373,10788,11414,9187,11636,7973,9208,10106,10109,11121,10098,9839,12034,9795,9913,9436,11525,12350,10741,11017,8426,12045,11758,13028,8791,9641,10427,10517,12298,13772,7352,9784,9912,12851,10096,12220
c42,15055,10543,14053,13742,13547,16652,12038,14565,14828,11650,11856,12168,12226,15126,13808,9970,14285,13933,15251,15071,13880,11464,10524,11645,14893,10245,12198,13348,11739,15102,12887,13087,14539,10815,11520,11273
c43,7382,10434,4954,5882,4792,8600,8821,8525,8780,6012,5756,8682,9662,4981,7605,7074,6339,9636,6130,5247,6868,7951,8083,6454,8077,6798,9769,7859,6639,6906,8621,5613,8161,6944,8213,5095
c44,15580,20619,19778,18204,15797,17154,19090,15876,19295,15782,18264,18762,19758,18787,17061,20607,20230,15352,16216,16620,19242,14187,15133,16264,17106,15537,17513,13307,16829,19711,13984,20533,16645,18397,16163,17578
c45,10483,8216,12673,8265,10862,10725,12621,8987,9015,11418,8950,10059,10653,10229,12843,10112,11533,10744,9106,10062,9975,10262,9980,10265,7554,11114,9105,12874,7718,11608,11723,10434,8129,9162,10013,10003
c46,7762,10095,7321,8060,8733,7734,6455,6558,7854,6406,7692,7852,5964,7049,6639,7269,8391,6661,7004,7055,7555,8775,7283,7339,6746,8728,9391,6513,9715,6021,8068,7308,6471,8176,7869,9862
c47,8541,10624,12346,11742,11510,10476,8138,13000,11384,10650,10098,9462,10816,10609,9400,6950,10340,8735,10526,10477,10149,10764,10280,5422,9581,10063,10191,9717,9132,9473,9424,11294,6973,8085,12031,9735
c48,12954,12577,9876,11628,11509,12114,11187,12405,12428,12954,12845,13023,13191,15050,11918,10809,13949,13061,12661,12475,15489,11486,12803,11718,12797,12151,12233,13130,12601,12111,11790,12737,12813,12388,11980,12592
c49,14852,12330,8843,17868,9374,13350,9105,13797,6723,11222,10327,11617,11349,16715,13125,8020,13157,11867,10481,12727,10829,11641,11940,10796,12670,8795,11860,10103,13813,13568,11792,9386,13523,11782,10831,11039
c50,19471,21177,21612,21760,19990,19909,20424,19188,20835,18982,18710,19662,19897,19321,20836,20264,19470,18562,19559,19238,20231,20809,19560,22088,20617,20116,18446,21441,20997,19835,19579,20117,21451,19652,19362,19407
c51,10477,9552,11081,11190,9944,9538,10079,9104,9687,9483,10205,10191,10571,8468,9630,10133,11118,9253,9488,10594,9982,11358,11874,9938,10711,9974,11838,8081,10180,10095,10503,10569,9603,9848,10988,9735
c52,20039,19448,20413,19126,18796,19764,20318,20400,19606,19892,19567,18500,19858,17849,19806,20427,18785,19276,19335,18845,19667,18600,20264,19139,19670,19391,19242,20145,19206,20741,19344,19331,20159,18903,19680,19546
c53,9869,8667,9124,9304,9119,9085,8850,9917,9375,8985,8938,8615,9890,9638,9506,9256,9030,9650,8984,8999,9303,8580,9379,9526,9155,9246,9833,9648,9759,9409,9027,10004,9071,8560,9211,8928
c54,6030,6150,6477,5625,6050,6370,5895,5941,5923,6906,6005,6076,6582,6236,6082,6695,5973,6577,5942,6381,6481,5807,6374,6377,6224,6148,5931,6002,6290,6677,6735,6577,6294,6440,6317,6160
c55,8800,7944,8794,8907,8285,8009,9075,7757,9070,8116,8776,7895,7755,8853,8038,8633,8353,8249,8569,8360,8064,8571,8941,8186,9192,8432,8170,8739,9200,8449,8574,8696,8156,8580,8580,8507
c56,11715,11569,11774,11116,12043,11790,12347,12466,11741,12244,10958,12303,11930,12095,12123,12064,12073,11026,11425,11312,11182,11395,12016,12219,13172,12383,11708,10904,11899,12747,11347,11889,11523,12620,11243,11612
c57,17284,15646,16910,24006,15509,15212,13102,15813,20694,19110,15396,15524,20014,18461,17136,19264,13229,19914,17463,16328,8968,16720,12221,16412,20228,14958,17138,13310,16700,13341,8607,20786,20169,15349,13315,16459
c58,12036,10560,14744,10525,12776,11396,12921,12484,12839,12990,10898,13196,11212,9566,13981,11979,12796,13801,12186,11197,11993,13709,11944,13758,11624,13065,12675,11172,12453,12803,11017,12422,13533,12120,11469,12570
c59,9689,8314,9165,10957,10636,8175,11581,8826,8812,8747,10443,9933,8808,7070,8927,11174,10949,11464,10677,11100,9164,10262,9489,11808,11071,7887,13393,8646,8266,9112,11691,9498,9144,12978,10277,11145
c60,10682,10373,11978,9830,11175,10208,8959,10397,11470,10402,12682,9745,11818,11316,12050,10593,11699,9308,11123,10179,11553,11535,9415,10159,12214,9592,9587,12241,10308,11781,13235,10665,12669,11347,10978,12132
c61,9225,7801,9327,8662,7501,9514,9540,7927,10834,9214,8260,9766,9748,9204,8925,8604,9200,8679,10094,8661,9451,10867,10452,9334,8349,9085,9486,8896,10687,8915,9136,7815,9367,7924,8987,9397
c62,17745,17329,18407,19228,17395,17637,18981,19156,19060,18965,18523,22464,17165,19825,24236,18773,19362,18959,15964,22012,17083,19831,18282,19353,21644,18381,22993,16809,21178,19583,17635,20452,20903,15097,22366,16735
c63,10767,9227,11065,8128,6504,10120,9581,10287,10447,10267,8722,6939,7478,5764,9265,9200,9505,10111,9033,7347,9922,7685,9463,9242,5855,11771,9267,7911,10089,9607,8598,8907,9404,9328,6380,7785
c64,10138,9533,10110,9728,10243,9975,10405,10494,9801,9466,8999,9536,10601,10094,8666,9293,9710,9313,10055,10882,9039,9439,10119,9783,9744,9372,10380,10602,9492,9233,10247,10185,9244,9789,9625,9908
c65,16217,16094,15518,15946,17514,16046,15627,15138,15905,16118,16626,16162,17757,15497,15327,16410,16609,16764,17322,16912,16630,16621,15991,14983,16675,14940,15562,16814,16003,15260,16919,15393,13905,14775,16289,15857
c66,15598,15750,15505,15506,15678,15615,15610,15505,15597,15634,15415,15596,15553,15522,15503,15434,15436,15631,15607,15767,15516,15455,15368,15619,15291,15548,15475,15442,15524,15946,15437,15532,15570,15447,15212,15493
c67,20075,18395,12500,23991,16743,22159,26232,19142,25458,20295,20737,19680,18247,16930,20143,16285,20918,24681,30492,12063,21158,22372,21235,18087,21511,15617,19719,19484,20229,22402,17437,19933,21251,25073,20817,19876
c68,8848,4733,5716,7282,6783,6714,8209,7002,6346,7279,9315,5284,8711,8308,7500,6550,6542,5185,5504,6505,8060,6797,4589,8347,4260,6251,6645,6014,6358,5352,5537,5115,8626,6461,6334,6072
c69,15141,15697,15569,15310,15823,15703,15132,15169,15259,15380,15479,15751,16201,16324,16135,16299,15767,14889,15670,16448,15618,16621,16721,15652,15130,16102,14899,16119,16141,14881,14987,15290,15881,16154,15839,15662
c70,13916,13990,14148,14242,13836,13907,13818,13768,13963,14174,14048,14072,13745,14118,13734,14047,13908,13967,14063,13942,14106,13843,14144,13993,14039,14249,14168,13984,13808,14097,14140,13934,14190,13943,14325,13929
c71,17288,20151,19084,21318,17424,20015,19134,16444,18067,20281,18142,17966,17721,20031,19216,19797,19420,16682,18495,18756,18259,19588,17997,20265,18159,20728,20501,19190,17678,18656,18951,19088,19080,18320,17477,18719
c72,8618,7187,6498,6804,7149,7524,8058,7035,6605,6295,7517,7200,7383,7911,6545,7415,7618,8441,8581,6703,7175,8810,6653,8344,7457,7665,6716,6807,7491,6524,7880,7581,7852,6713,6882,6666
c73,16544,23732,22633,21969,16181,19272,19717,18926,20355,23780,20841,24698,23362,25774,25126,18337,25249,19792,16682,24234,23634,18665,25724,20834,18760,29320,16784,15324,21629,18343,13965,21301,20737,21410,13963,18057
c74,9824,7510,8074,7427,10376,6945,9534,10558,8267,9312,9274,9882,7147,6406,7108,7519,7628,6959,10293,9945,8986,9256,8813,10164,6034,8611,7994,8770,9626,7150,7991,4215,6456,5318,9587,8947
c75,17441,14943,16002,18587,16331,13947,15947,16316,17028,14497,14936,18203,16617,16967,17109,15730,17131,16588,13537,17197,17048,17294,15305,17052,16148,13661,17978,14394,17895,15136,15971,15629,17646,17014,17112,16568
c76,8548,19956,11295,16721,15834,15449,14387,11786,16765,12177,14201,15880,18834,7461,15559,15131,15712,12905,12381,15974,11209,17053,12790,15628,12218,15546,14178,14190,11320,13404,12686,12253,16626,12629,15300,15578
c77,9373,9710,9087,11029,10725,8898,10042,10329,11470,9209,10797,8765,9052,9868,12108,10210,10213,10307,7713,10570,11616,11663,10662,8803,10382,11546,9939,12322,9925,7631,10959,8342,9024,7371,9642,9527
c78,16490,15222,15891,16401,15180,15854,16810,16121,16130,17381,15378,16866,15612,17987,16705,16857,17474,16996,16775,17930,16898,17100,15423,16783,16958,17353,16469,17711,14581,15674,17162,16180,15674,16484,16051,17121
c79,9745,9722,10188,10785,10843,10512,10129,9214,10913,9640,7951,8646,8949,8120,11102,9206,10638,13119,9242,7281,9198,10606,10972,8188,9374,10366,10316,11662,11090,8762,11340,11827,8940,10881,8324,8036
c80,10724,10295,10249,10249,10473,10058,8566,8758,9909,9880,9396,10407,9774,9768,10120,10711,10964,9772,10535,10881,9440,9502,10676,10259,9112,9607,11403,10481,10902,11092,9774,9884,11220,9670,10748,10393
c81,11354,12072,11983,11368,11389,12639,11233,12198,12771,12112,10707,11523,11869,11319,11960,11652,11132,12037,12331,12420,11613,11128,11686,12094,10939,11137,10475,9794,11543,12301,11773,10467,10039,12182,10975,13154
c82,13748,13282,13901,13585,11626,12599,14405,13056,12648,12190,13253,12520,9452,15148,14336,10339,14400,12099,10155,11964,15332,12688,10553,12007,11470,15173,13366,9049,14098,9982,11696,10409,11841,14313,12099,12847
c83,17937,18296,20068,19449,17617,17204,19418,19498,18089,20087,17949,17800,18369,17078,18001,19144,17534,17672,18713,18081,17913,19057,18616,19483,17917,18441,18854,17951,17996,17303,17693,17995,16897,18934,18366,17769
c84,15399,15420,15526,15381,15538,15496,15411,15577,15340,15630,15303,15465,15481,15294,15281,15316,15251,15461,15318,15334,15327,15412,15621,15401,15590,15381,15696,15544,15160,15394,15250,15298,15848,15653,15437,15550
c85,10372,7963,8596,9909,6251,11078,6707,11801,9648,6377,12142,10171,8741,9573,9146,7539,11731,10428,9106,10059,10720,7923,8888,7763,9416,7675,10158,12908,8672,9943,9844,9627,9817,8569,8162,10755
c86,9320,9904,9490,9651,9416,9245,9639,9575,9040,8984,9754,9942,9435,9078,9465,10185,9410,9801,10037,9169,8679,9303,9097,9415,8949,9782,9830,9219,8781,9434,9189,8864,9111,9241,9595,10019
c87,17018,16426,16115,13585,16190,14313,16599,14242,17262,17983,14612,17162,13561,16789,17476,18764,14666,14809,14398,15745,16300,16189,18742,16854,17659,13883,15770,13771,13759,17726,15711,14000,13609,16276,13888,16571
c88,8129,9454,9729,9447,9223,8524,7980,9483,9901,9117,8655,8952,8894,9106,9492,8329,8138,9917,8095,8502,9437,8972,8652,8629,8640,8483,8770,9144,9740,8559,9080,8625,8554,8784,9080,9141
c89,9387,9313,9836,11408,7142,8610,7808,9529,10164,7918,10471,6096,7526,8488,7548,8100,9127,7909,9216,10774,7882,8524,7129,10385,10207,8557,9689,9044,9167,9622,8677,10826,6853,8411,7395,9990
c90,7737,7725,7631,7652,7650,7685,7865,7562,7676,7864,7713,7765,7552,7654,7869,7581,7646,7673,7630,7678,7704,7729,7841,7614,7722,7745,7602,7681,7651,7626,7842,7643,7627,7780,7652,7727
c91,7752,7319,7932,7293,7502,7252,7495,7844,7345,7644,7747,7489,7174,7539,7502,7848,7743,7453,7687,7534,7447,7479,7912,7821,7642,7797,7549,7166,7344,7527,7540,7066,7496,7201,7285,7413
c92,9004,12119,12088,11468,9026,12124,15476,12720,12072,9842,10574,12647,12085,11497,12197,9423,10111,14777,14796,8749,17456,12459,9374,10143,9856,11808,12233,11100,11135,12378,11240,7316,12921,10161,13252,8616
c93,18603,17165,17745,18378,16013,19736,17988,18950,17779,18512,18432,14070,17787,18351,21590,21016,16558,16064,16285,15792,21033,17645,18159,18694,17101,15523,17414,20578,18563,19209,17583,17276,18914,19634,19805,15520
c94,15497,17102,16553,16908,17469,16275,16764,16644,16954,18055,15961,16379,17905,17121,16498,17633,16574,16851,16450,16878,17312,16725,15532,16970,16715,17377,15877,17296,17220,17267,16529,16311,16483,16771,16966,16571
c95,14689,16206,17064,12442,18756,16654,17416,15347,13186,17699,17120,14930,15127,12856,16131,15134,14058,15152,12314,15995,13387,16724,15830,12877,17789,20670,16780,16998,14093,21550,18331,17038,18665,20291,16200,15244
c96,9297,12693,11253,9474,9738,11573,11516,9040,13686,9961,11285,10695,10095,7924,12141,13159,9558,14024,10625,12356,9127,10153,9618,8278,11313,12830,6576,11465,9797,9456,8907,9380,11658,7724,10715,9783
c97,8604,8040,11442,11477,10677,8430,9144,8674,9400,6757,10988,9128,9365,9480,8204,9195,9199,12012,5414,7061,9666,6435,10952,9890,8898,9351,8491,6213,8443,7300,6551,10246,8510,8870,5556,8452
c98,7412,7348,8262,4776,6552,8100,7240,7104,5757,7559,7979,5579,8283,7903,5620,5840,8319,8488,9345,7884,8230,8534,6119,8464,8305,7753,7815,7489,6974,6927,6514,6938,7481,6896,6399,7029
c99,17044,19213,17755,12561,19332,11376,21316,14177,18745,17954,16606,17439,20399,19524,16220,18090,17142,22956,21181,19293,16319,20515,18905,20723,12598,14662,18350,17093,19044,17250,16599,20522,17417,15399,19650,17598
c100,18683,20659,18828,21196,20372,19610,18851,20827,21642,18456,22408,15423,21480,23214,17813,18162,21124,20795,22460,21967,17940,20185,20543,20320,23049,20580,20815,18125,19711,17552,19714,17086,18486,19716,19295,18550
c101,18371,19304,19459,19308,19422,19759,18045,18287,19060,19847,19704,18923,18551,18776,20048,19011,18838,18309,17972,18901,18909,20041,20366,18376,18583,18574,18395,18924,18793,19062,19173,18616,18687,18521,19828,19010
c102,9565,10892,7085,12186,8511,10006,9406,8204,7055,9128,8818,11173,9801,10447,9992,11996,10445,10285,7162,10696,8437,9388,8902,10427,10888,12224,9827,8782,8764,9496,9924,12721,10865,9428,8859,7160
c103,15872,18032,13372,15301,16179,16956,15612,15077,15302,15257,12997,15834,15322,16266,15993,15969,17144,15342,16475,14227,15006,16888,15988,15841,17005,15093,14077,14401,15043,15757,15139,18989,15202,17078,14853,15253
c104,20150,19169,19712,20005,18839,19565,18853,19606,19496,19423,19231,18841,20350,19110,18890,20322,19604,19211,19522,19368,19823,18126,18764,19914,18932,18944,19562,19685,19425,19299,19529,18534,18742,20013,19415,20272
c105,23534,20324,22164,20673,24221,22531,23249,27507,20758,22836,20223,20622,23621,18449,21747,22806,20320,23730,24942,23102,21097,25585,26112,21410,21879,23392,24836,16468,22838,22213,18199,25686,23257,23178,18719,21427
c106,27274,18006,12108,19655,19576,19848,20348,19625,18789,16832,11938,14904,20531,20789,13991,13817,14376,14365,21771,18760,20439,19528,19381,18775,18567,19966,15808,15481,18245,19330,14369,22407,18628,16014,17888,17150
c107,13916,10173,12309,11200,10678,12806,11539,11327,12201,10075,12580,10422,13422,13002,13010,12429,10918,12670,13580,11425,13530,13701,12620,11397,11984,12699,12534,13270,12526,13294,14194,14256,12588,14793,11684,11322
c108,21333,20014,17247,17470,18885,21017,19719,17864,19400,21470,19543,20629,19817,21917,16835,21459,20628,18358,21238,18644,15849,19762,20637,17538,21607,19717,18375,17730,16742,18681,16369,21208,21876,19521,18299,24607
c109,9502,7321,7833,7255,7600,8979,8728,8044,7519,6944,9669,8859,9568,10720,7115,7826,7619,10117,8367,8572,8395,8438,8538,9683,7616,9717,7562,8803,7954,8010,7960,8332,9687,8877,8484,7818
c110,16842,16682,15932,16313,16551,15804,15487,14781,16173,15873,15444,17416,17419,16828,16456,17402,16696,18194,15936,17422,15095,18129,16591,16512,15578,16920,15950,18809,15183,16277,17611,15794,15637,17335,16305,17146
c111,20480,20243,19451,21619,18113,16186,15297,18502,17332,15531,19212,20449,19039,16918,11632,15612,16506,17509,18906,18886,20285,19868,16738,16879,16325,17934,20126,18358,17422,17060,12727,17673,15136,20123,18344,22785
c112,10282,4810,8430,6830,6858,11103,10997,8605,10012,5805,9086,8057,9680,9261,9620,8187,8702,8792,7716,7984,9658,9299,10966,9072,6458,9941,4494,8628,6326,8730,7217,4614,8424,7693,7876,9063
c113,9996,9623,10655,9786,11742,8831,10724,9110,11773,8384,10331,9503,9320,9768,9577,8453,9474,11107,8729,10537,10948,9967,8494,11138,8986,9999,9874,8863,9043,10391,10003,9324,9573,9430,11004,10325
c114,7740,7508,7309,7510,7283,7622,7459,7183,8024,7714,7329,7264,8004,7164,7235,7610,7755,7498,7531,7329,6987,7324,7739,7514,7345,7382,7487,7910,8050,7642,7055,7684,7801,6851,7862,7600
c115,17163,20562,18585,18095,19875,17238,16620,18946,17920,18479,19410,18730,18716,19069,20662,20083,18704,19193,18986,19955,18287,18675,19040,18748,19399,20921,20992,16878,18624,17310,17699,15840,18868,18655,18926,17854
c116,14708,18589,18215,14307,16015,14733,18783,13655,15441,13904,18033,17154,17648,19058,20171,15895,16179,11856,13276,14872,15668,14445,17396,14168,18395,15907,19090,19340,17719,17049,13748,16534,14643,18370,14788,18502
c117,17601,18455,17734,18278,18022,18542,18282,18174,18264,17842,18798,18555,17956,18063,17520,17986,18358,18564,18346,18224,18045,18634,17946,18172,18345,18281,18847,18131,18176,18084,18571,18039,18488,18429,18484,17926
c118,21576,19538,21567,17429,20012,20176,14375,17331,18703,16838,21992,22104,24077,20283,15764,20846,20338,24471,20365,22479,17646,22132,15896,17555,17600,18953,17446,19650,15034,19257,16075,18872,17239,15862,15622,23883
c119,14321,13267,13934,10130,14355,14655,16012,12848,14688,13187,14791,14786,10795,14420,17364,14821,17880,18166,15263,15340,20355,12184,11402,17417,14201,12944,15678,8977,18154,14909,14106,13828,12985,12680,17282,12911
c120,17280,20311,17933,18491,22294,12205,14493,17680,23029,16732,22620,16153,20004,16414,24326,22811,14763,18371,26053,15831,16550,18597,15687,24411,16533,20221,18296,16649,20556,14796,14302,16180,17834,14128,25231,19987
c121,18876,18712,16427,15477,15509,15696,19608,16833,14709,14763,15809,17994,16466,19218,16668,16282,19178,13389,16211,17616,14764,17945,18252,18494,16121,15663,15712,17342,14321,18389,16286,16993,18893,16714,16823,16035
c122,7604,7344,7110,7343,7287,7641,7546,6911,6936,7282,7013,7507,7152,6961,7254,7402,7115,7507,7070,7451,7216,7023,7433,7377,7078,7144,6623,7560,7129,7669,7163,7107,7450,7508,6934,7075
c123,10977,19268,15475,15992,18591,13098,15265,11993,19061,15093,12523,17788,17341,14530,19622,13933,14927,17950,15454,15852,16257,19783,16477,18492,14255,16068,19332,16292,12817,20177,17412,19818,17617,16457,16715,15980
