demand_zoneID,pricing_level,selling_price,demand
d_6037,medium,110,1200
d_6037,high,120,900
d_6039,low,100,160.256
d_6039,medium,110,128.2048
d_6039,high,120,96.1536
d_6041,low,100,256.018
d_6041,medium,110,204.8144
d_6041,high,120,153.6108
d_6043,low,100,17.02
d_6043,medium,110,13.616
d_6043,high,120,10.212
d_6045,low,100,89.783
d_6045,medium,110,71.8264
d_6045,high,120,53.8698
d_6047,low,100,290.014
d_6047,medium,110,232.0112
d_6047,high,120,174.0084
d_6049,low,100,8.511
d_6049,medium,110,6.8088
d_6049,high,120,5.1066
d_6051,low,100,12.978
d_6051,medium,110,10.3824
d_6051,high,120,7.7868
d_6053,low,100,432.858
d_6053,medium,110,346.2864
d_6053,high,120,259.7148
d_6055,low,100,134.3
d_6055,medium,110,107.44
d_6055,high,120,80.58
d_6057,low,100,102.293
d_6057,medium,110,81.8344
d_6057,high,120,61.3758
d_6059,low,100,1500
d_6059,medium,110,1200
d_6059,high,120,900
d_6061,low,100,417.772
d_6061,medium,110,334.2176
d_6061,high,120,250.6632
d_6063,low,100,19.351
d_6063,medium,110,15.4808
d_6063,high,120,11.6106
d_6065,low,100,1500
d_6065,medium,110,1200
d_6065,high,120,900
d_6067,low,100,1584.169
d_6067,medium,110,1267.3352
d_6067,high,120,950.5014
d_6069,low,100,67.579
d_6069,medium,110,54.0632
d_6069,high,120,40.5474
d_6071,low,100,1500
d_6071,medium,110,1200
d_6071,high,120,900
d_6073,low,100,1500
d_6073,medium,110,1200
d_6073,high,120,900
d_6075,low,100,808.437
d_6075,medium,110,646.7496
d_6075,high,120,485.0622
d_6077,low,100,793.229
d_6077,medium,110,634.5832
d_6077,high,120,475.9374
d_6079,low,100,282.013
d_6079,medium,110,225.6104
d_6079,high,120,169.2078
d_6081,low,100,729.181
d_6081,medium,110,583.3448
d_6081,high,120,437.5086
d_6083,low,100,443.837
d_6083,medium,110,355.0696
d_6083,high,120,266.3022
d_6085,low,100,1500
d_6085,medium,110,1200
d_6085,high,120,900
d_6087,low,100,264.37
d_6087,medium,110,211.496
d_6087,high,120,158.622
d_6089,low,100,180.93
d_6089,medium,110,144.744
d_6089,high,120,108.558
d_6091,low,100,3.217
d_6091,medium,110,2.5736
d_6091,high,120,1.9302
d_6093,low,100,43.66
d_6093,medium,110,34.928
d_6093,high,120,26.196
d_6095,low,100,448.747
d_6095,medium,110,358.9976
d_6095,high,120,269.2482
d_6097,low,100,482.65
d_6097,medium,110,386.12
d_6097,high,120,289.59
d_6099,low,100,551.275
d_6099,medium,110,441.02
d_6099,high,120,330.765
d_6101,low,100,98.503
d_6101,medium,110,78.8024
d_6101,high,120,59.1018
d_6103,low,100,65.245
d_6103,medium,110,52.196
d_6103,high,120,39.147
d_6105,low,100,15.781
d_6105,medium,110,12.6248
d_6105,high,120,9.4686
d_6107,low,100,477.544
d_6107,medium,110,382.0352
d_6107,high,120,286.5264
d_6109,low,100,54.531
d_6109,medium,110,43.6248
d_6109,high,120,32.7186
d_6111,low,100,832.605
d_6111,medium,110,666.084
d_6111,high,120,499.563
d_6113,low,100,222.115
d_6113,medium,110,177.692
d_6113,high,120,133.269
d_6115,low,100,84.31
d_6115,medium,110,67.448
d_6115,high,120,50.586
d_32001,low,100,25.843
d_32001,medium,110,20.6744
d_32001,high,120,15.5058
d_32003,low,100,1500
d_32003,medium,110,1200
d_32003,high,120,900
d_32005,low,100,49.628
d_32005,medium,110,39.7024
d_32005,high,120,29.7768
d_32007,low,100,54.046
d_32007,medium,110,43.2368
d_32007,high,120,32.4276
d_32009,low,100,0.744
d_32009,medium,110,0.5952
d_32009,high,120,0.4464
d_32011,low,100,1.863
d_32011,medium,110,1.4904
d_32011,high,120,1.1178
d_32013,low,100,17.272
d_32013,medium,110,13.8176
d_32013,high,120,10.3632
d_32015,low,100,5.766
d_32015,medium,110,4.6128
d_32015,high,120,3.4596
d_32017,low,100,4.482
d_32017,medium,110,3.5856
d_32017,high,120,2.6892
d_32019,low,100,61.585
d_32019,medium,110,49.268
d_32019,high,120,36.951
d_32021,low,100,4.525
d_32021,medium,110,3.62
d_32021,high,120,2.715
d_32023,low,100,54.738
d_32023,medium,110,43.7904
d_32023,high,120,32.8428
d_32027,low,100,6.462
d_32027,medium,110,5.1696
d_32027,high,120,3.8772
d_32029,low,100,4.17
d_32029,medium,110,3.336
d_32029,high,120,2.502
d_32031,low,100,496.745
d_32031,medium,110,397.396
d_32031,high,120,298.047
d_32033,low,100,8.788
d_32033,medium,110,7.0304
d_32033,high,120,5.2728
d_32510,low,100,58.13
d_32510,medium,110,46.504
d_32510,high,120,34.878
d_41001,low,100,16.938
d_41001,medium,110,13.5504
d_41001,high,120,10.1628
d_41003,low,100,97.63
d_41003,medium,110,78.104
d_41003,high,120,58.578
d_41005,low,100,423.177
d_41005,medium,110,338.5416
d_41005,high,120,253.9062
d_41007,low,100,41.695
d_41007,medium,110,33.356
d_41007,high,120,25.017
d_41009,low,100,53.588
d_41009,medium,110,42.8704
d_41009,high,120,32.1528
d_41011,low,100,64.99
d_41011,medium,110,51.992
d_41011,high,120,38.994
d_41013,low,100,26.375
d_41013,medium,110,21.1
d_41013,high,120,15.825
d_41015,low,100,23.598
d_41015,medium,110,18.8784
d_41015,high,120,14.1588
d_41017,low,100,206.549
d_41017,medium,110,165.2392
d_41017,high,120,123.9294
d_41019,low,100,112.297
d_41019,medium,110,89.8376
d_41019,high,120,67.3782
d_41021,low,100,2.018
d_41021,medium,110,1.6144
d_41021,high,120,1.2108
d_41023,low,100,7.218
d_41023,medium,110,5.7744
d_41023,high,120,4.3308
d_41025,low,100,7.515
d_41025,medium,110,6.012
d_41025,high,120,4.509
d_41027,low,100,24.048
d_41027,medium,110,19.2384
d_41027,high,120,14.4288
d_41029,low,100,221.644
d_41029,medium,110,177.3152
d_41029,high,120,132.9864
d_41031,low,100,25.33
d_41031,medium,110,20.264
d_41031,high,120,15.198
d_41033,low,100,87.73
d_41033,medium,110,70.184
d_41033,high,120,52.638
d_41035,low,100,70.212
d_41035,medium,110,56.1696
d_41035,high,120,42.1272
d_41037,low,100,8.385
d_41037,medium,110,6.708
d_41037,high,120,5.031
d_41039,low,100,382.353
d_41039,medium,110,305.8824
d_41039,high,120,229.4118
d_41041,low,100,50.813
d_41041,medium,110,40.6504
d_41041,high,120,30.4878
d_41043,low,100,130.467
d_41043,medium,110,104.3736
d_41043,high,120,78.2802
d_41045,low,100,31.879
d_41045,medium,110,25.5032
d_41045,high,120,19.1274
d_41047,low,100,346.703
d_41047,medium,110,277.3624
d_41047,high,120,208.0218
d_41049,low,100,12.3
d_41049,medium,110,9.84
d_41049,high,120,7.38
d_41051,low,100,795.083
d_41051,medium,110,636.0664
d_41051,high,120,477.0498
d_41053,low,100,89.614
d_41053,medium,110,71.6912
d_41053,high,120,53.7684
d_41055,low,100,1.955
d_41055,medium,110,1.564
d_41055,high,120,1.173
d_41057,low,100,27.574
d_41057,medium,110,22.0592
d_41057,high,120,16.5444
d_41059,low,100,80.215
d_41059,medium,110,64.172
d_41059,high,120,48.129
d_41061,low,100,26.177
d_41061,medium,110,20.9416
d_41061,high,120,15.7062
d_41063,low,100,7.659
d_41063,medium,110,6.1272
d_41063,high,120,4.5954
d_41065,low,100,26.561
d_41065,medium,110,21.2488
d_41065,high,120,15.9366
d_41067,low,100,600.176
d_41067,medium,110,480.1408
d_41067,high,120,360.1056
d_41069,low,100,1.445
d_41069,medium,110,1.156
d_41069,high,120,0.867
d_41071,low,100,108.226
d_41071,medium,110,86.5808
d_41071,high,120,64.9356
d_49001,low,100,7.327
d_49001,medium,110,5.8616
d_49001,high,120,4.3962
d_49003,low,100,61.498
d_49003,medium,110,49.1984
d_49003,high,120,36.8988
d_49005,low,100,140.173
d_49005,medium,110,112.1384
d_49005,high,120,84.1038
d_49007,low,100,20.571
d_49007,medium,110,16.4568
d_49007,high,120,12.3426
d_49009,low,100,1.014
d_49009,medium,110,0.8112
d_49009,high,120,0.6084
d_49011,low,100,369.948
d_49011,medium,110,295.9584
d_49011,high,120,221.9688
d_49013,low,100,20.161
d_49013,medium,110,16.1288
d_49013,high,120,12.0966
d_49015,low,100,10.099
d_49015,medium,110,8.0792
d_49015,high,120,6.0594
d_49017,low,100,5.281
d_49017,medium,110,4.2248
d_49017,high,120,3.1686
d_49019,low,100,9.769
d_49019,medium,110,7.8152
d_49019,high,120,5.8614
d_49021,low,100,62.429
d_49021,medium,110,49.9432
d_49021,high,120,37.4574
d_49023,low,100,12.567
d_49023,medium,110,10.0536
d_49023,high,120,7.5402
d_49025,low,100,8.227
d_49025,medium,110,6.5816
d_49025,high,120,4.9362
d_49027,low,100,13.33
d_49027,medium,110,10.664
d_49027,high,120,7.998
d_49029,low,100,12.832
d_49029,medium,110,10.2656
d_49029,high,120,7.6992
d_49031,low,100,1.487
d_49031,medium,110,1.1896
d_49031,high,120,0.8922
d_49033,low,100,2.628
d_49033,medium,110,2.1024
d_49033,high,120,1.5768
d_49035,low,100,1186.257
d_49035,medium,110,949.0056
d_49035,high,120,711.7542
d_49037,low,100,14.359
d_49037,medium,110,11.4872
d_49037,high,120,8.6154
d_49039,low,100,29.724
d_49039,medium,110,23.7792
d_49039,high,120,17.8344
d_49041,low,100,22.069
d_49041,medium,110,17.6552
d_49041,high,120,13.2414
d_49043,low,100,43.036
d_49043,medium,110,34.4288
d_49043,high,120,25.8216
d_49045,low,100,79.934
d_49045,medium,110,63.9472
d_49045,high,120,47.9604
d_49047,low,100,37.141
d_49047,medium,110,29.7128
d_49047,high,120,22.2846
d_49049,low,100,702.434
d_49049,medium,110,561.9472
d_49049,high,120,421.4604
d_49051,low,100,36.619
d_49051,medium,110,29.2952
d_49051,high,120,21.9714
d_49053,low,100,197.68
d_49053,medium,110,158.144
d_49053,high,120,118.608
d_49055,low,100,2.645
d_49055,medium,110,2.116
d_49055,high,120,1.587
d_49057,low,100,269.561
d_49057,medium,110,215.6488
d_49057,high,120,161.7366
d_53001,low,100,20.961
d_53001,medium,110,16.7688
d_53001,high,120,12.5766
d_53003,low,100,22.508
d_53003,medium,110,18.0064
d_53003,high,120,13.5048
d_53005,low,100,212.791
d_53005,medium,110,170.2328
d_53005,high,120,127.6746
d_53007,low,100,79.926
d_53007,medium,110,63.9408
d_53007,high,120,47.9556
d_53009,low,100,77.805
d_53009,medium,110,62.244
d_53009,high,120,46.683
d_53011,low,100,516.779
d_53011,medium,110,413.4232
d_53011,high,120,310.0674
d_53013,low,100,4.026
d_53013,medium,110,3.2208
d_53013,high,120,2.4156
d_53015,low,100,111.956
d_53015,medium,110,89.5648
d_53015,high,120,67.1736
d_53017,low,100,44.192
d_53017,medium,110,35.3536
d_53017,high,120,26.5152
d_53019,low,100,7.448
d_53019,medium,110,5.9584
d_53019,high,120,4.4688
d_53021,low,100,98.678
d_53021,medium,110,78.9424
d_53021,high,120,59.2068
d_53023,low,100,2.363
d_53023,medium,110,1.8904
d_53023,high,120,1.4178
d_53025,low,100,101.311
d_53025,medium,110,81.0488
d_53025,high,120,60.7866
d_53027,low,100,77.038
d_53027,medium,110,61.6304
d_53027,high,120,46.2228
d_53029,low,100,86.625
d_53029,medium,110,69.3
d_53029,high,120,51.975
d_53031,low,100,33.589
d_53031,medium,110,26.8712
d_53031,high,120,20.1534
d_53033,low,100,1500
d_53033,medium,110,1200
d_53033,high,120,900
d_53035,low,100,277.673
d_53035,medium,110,222.1384
d_53035,high,120,166.6038
d_53037,low,100,45.189
d_53037,medium,110,36.1512
d_53037,high,120,27.1134
d_53039,low,100,23.271
d_53039,medium,110,18.6168
d_53039,high,120,13.9626
d_53041,low,100,85.37
d_53041,medium,110,68.296
d_53041,high,120,51.222
d_53043,low,100,11.601
d_53043,medium,110,9.2808
d_53043,high,120,6.9606
d_53045,low,100,68.166
d_53045,medium,110,54.5328
d_53045,high,120,40.8996
d_53047,low,100,43.127
d_53047,medium,110,34.5016
d_53047,high,120,25.8762
d_53049,low,100,24.113
d_53049,medium,110,19.2904
d_53049,high,120,14.4678
d_53051,low,100,14.179
d_53051,medium,110,11.3432
d_53051,high,120,8.5074
d_53053,low,100,927.38
d_53053,medium,110,741.904
d_53053,high,120,556.428
d_53055,low,100,18.662
d_53055,medium,110,14.9296
d_53055,high,120,11.1972
d_53057,low,100,131.179
d_53057,medium,110,104.9432
d_53057,high,120,78.7074
d_53059,low,100,12.46
d_53059,medium,110,9.968
d_53059,high,120,7.476
d_53061,low,100,840.079
d_53061,medium,110,672.0632
d_53061,high,120,504.0474
d_53063,low,100,549.69
d_53063,medium,110,439.752
d_53063,high,120,329.814
d_53065,low,100,48.229
d_53065,medium,110,38.5832
d_53065,high,120,28.9374
d_53067,low,100,298.758
d_53067,medium,110,239.0064
d_53067,high,120,179.2548
d_53069,low,100,4.688
d_53069,medium,110,3.7504
d_53069,high,120,2.8128
d_53071,low,100,61.89
d_53071,medium,110,49.512
d_53071,high,120,37.134
d_53073,low,100,230.677
d_53073,medium,110,184.5416
d_53073,high,120,138.4062
d_53075,low,100,47.619
d_53075,medium,110,38.0952
d_53075,high,120,28.5714
d_53077,low,100,257.001
d_53077,medium,110,205.6008
d_53077,high,120,154.2006
